customer_id,first_name,last_name,gender,email,phone_number,street_address,city,state,zip_code,country,signup_date,birth_date,loyalty_status,preferred_channel,marketing_opt_in,lifetime_value,return_rate,customer_status
127824,MICHAEL,Perez,M,michael.perez98@hotmail.com,(438)536-3417,9864 Oak Ln,San Diego,CA,28964,USA,2019-05-31,05/30/1973,Platinum,In-Store,True,841.47,0.0581,Inactive
688508,Anna,Taylor,F,anna.taylor4@gmail.com,(566)443-6304,358 Pine Ln,Louisville,KY,16868,USA,12/16/2019,11/11/1964,Gold,Mobile App,False,27.75,0.073,Active
308496,Catherine,Clark,F,catherine.clark47@yahoo.com,(662)715-4629,810 Spring Ln,San Francisco,CA,70036,USA,2019-04-11,09/13/1960,bronze,Email,True,-39.08,0.0862,Churned
850800,Michael,Walker,M,michael.walker63@icloud.com,(275)282-6277,2530 Maple Blvd,Las Vegas,NV,46046,USA,2022-07-04,03/30/1993,Silver,In-Store,False,229.53,0.1255,Suspended
781453,Samantha,Nguyen,F,samantha.nguyen68@gmail.com,(717)819-8048,1724 Cedar Pl,Seattle,WA,38183,USA,2021-08-24,03/04/1989,Silver,Web,False,247.97,0.0681,Inactive
835392,Jeffrey,Anderson,M,jeffrey.anderson94@gmail.com,(637)520-5176,6232 Elm Way,Columbus,OH,18799,USA,2021-10-20,09/08/1995,Bronze,In-Store,True,466.8,0.2288,Active
671412,David,Garcia,M,david.garcia72@gmail.com,(775)775-6400,2102 Valley Rd,Columbus,OH,97207,USA,2019-01-31,06/06/1988,Gold,Mobile App,False,124.03,0.1553,Active
539898,Patrick,Brown,M,patrick.brown65@gmail.com,(872)693-4674,1873 Sunset Pl,San Jose,CA,58176,USA,2021-07-03,07/19/1986,Gold,Mobile App,True,126.47,0.2937,Active
331148,Dennis,Moore,M,dennis.moore99@yahoo.com,(823)873-5381,574 Pine Ln,Denver,CO,50499,USA,2020-07-15,07/01/1993,Bronze,Phone,False,365.22,0.3111,Active
571029,Brian,Smith,M,brian.smith95@yahoo.com,(293)964-9691,3624 Highland Ct,Philadelphia,PA,69460,USA,2019-08-10,12/15/1990,Gold,Mobile App,True,17.41,0.1973,Active
717889,Christopher,White,M,christopher.white20@gmail.com,(832)250-2336,4558 Meadow Ct,San Jose,CA,73656,USA,2021-08-21,08/15/1962,Silver,Web,False,47.05,0.1249,Active
391704,Laura,Clark,F,laura.clark56@gmail.com,(894)894-8972,8733 River St,Dallas,TX,38903,USA,2020-06-01,12/18/2000,Silver,Web,True,65.54,0.2381,Active
948749,Scott,Brown,M,scott.brown99@gmail.com,(461)496-6375,2065 Oak Way,New York,NY,66446,USA,2020-04-17,01/15/1982,Platinum,In-Store,False,176.25,0.1118,Inactive
106814,Sarah,Harris,F,sarah.harris86@yahoo.com,(606)959-1693,7247 Oak Way,Seattle,WA,20205,USA,2020-07-31,11/18/1999,Bronze,Web,True,373.75,0.173,Active
895667,Larry,Ramirez,M,larry.ramirez52@gmail.com,(532)375-8538,6028 Maple Ct,Denver,CO,23875,USA,2022-07-15,06/21/1992,Silver,Mobile App,True,144.84,0.0612,Active
944962,SHARON,Nguyen,F,sharon.nguyen40@hotmail.com,(541)997-3754,1351 Spring Ave,Fort Worth,TX,79547,USA,2023-11-17,01/21/1962,Bronze,Web,True,43.32,0.1365,Active
267414,BETTY,Roberts,F,betty.roberts19@gmail.com,(377)816-3504,1334 Pine Way,Jacksonville,FL,70811,USA,2021-12-09,04/01/1968,Bronze,Email,True,282.73,0.1415,Active
832052,Maria,Nguyen,F,maria.nguyen81@gmail.com,(650)269-8682,7345 River Ln,Charlotte,NC,87518,USA,2024-05-01,12/30/1983,Bronze,Web,False,489.22,0.364,Active
543143,Brian,Allen,M,brian.allen8@gmail.com,(493)278-2479,9833 Spring Ct,Chicago,IL,70648,USA,2021-06-25,06/04/1996,Silver,Web,True,214.55,0.1553,Inactive
456778,Brenda,mitchell,F,brenda.mitchell74@outlook.com,(819)687-9214,2571 Main Way,Milwaukee,WI,23566,USA,2018-06-18,05/07/1995,Gold,Web,False,127.52,0.2038,Active
391369,Alexander,Garcia,M,alexander.garcia57@hotmail.com,(572)581-5634,6447 Valley Rd,San Francisco,CA,98984,USA,2019-12-08,07/06/1958,platinum,Web,True,155.18,0.3774,Active
263032,Linda,Green,F,linda.green72@outlook.com,(458)941-3463,5561 Maple Ter,Oklahoma City,OK,96980,USA,2021-10-02,11/29/1960,Platinum,Phone,True,194.8,0.1287,Inactive
325772,Amanda,Martin,F,amanda.martin11@gmail.com,(585)858-6381,2193 Spring Ave,Oklahoma City,OK,94675,USA,2022-05-25,07/27/1966,Silver,Web,True,332.81,0.1133,Active
900581,Nicholas,White,M,nicholas.white28@gmail.com,(984)697-4145,3811 Elm Blvd,New York,NY,20114,USA,2022-01-25,09/16/1982,Gold,Web,True,491.31,0.3,Active
452944,Richard,Allen,M,richard.allen44@hotmail.com,(811)585-3527,2758 Pine Ter,Memphis,TN,31697,united states,2024-01-20,03/28/2002,Silver,Web,True,95.85,0.0595,ACTIVE
207175,Robert,Clark,M,robert.clark97@icloud.com,(439)746-4918,5170 Forest Dr,Jacksonville,FL,58213,USA,2020-08-30,11/07/1994,Silver,Mobile App,True,153.31,0.3529,Active
197251,Laura,Robinson,F,laura.robinson54@hotmail.com,(819)341-5096,954 Forest Rd,Memphis,TN,82684,USA,2021-02-28,04/05/1989,Platinum,Mobile App,True,607.52,0.289,Active
498382,Alexander,King,M,alexander.king21@gmail.com,(725)350-8167,1602 Lake Way,Las Vegas,NV,55820,USA,2019-05-26,07/28/1980,Bronze,Mobile App,True,303.13,0.2536,Active
201414,Edward,Brown,M,edward.brown11@gmail.com,(228)526-2623,5593 Elm Blvd,Fort Worth,TX,15020,USA,2023-08-19,07/19/1988,Platinum,In-Store,True,153.53,0.0953,Active
476417,Jacob,Hall,M,jacob.hall1@yahoo.com,(462)420-3449,9091 Cherry Pl,Portland,OR,65476,USA,2019-07-23,01/31/1997,Bronze,Mobile App,True,1505.97,0.2659,Active
